Fecha,unidad,valor_en_gwh
2015-01-01,GWh,6565
2015-01-01,GWh,290
2015-01-01,GWh,6275
2015-04-01,GWh,6086
2015-04-01,GWh,303
2015-04-01,GWh,5783
2015-07-01,GWh,5783
2015-07-01,GWh,316
2015-07-01,GWh,5468
2015-10-01,GWh,6165
2015-10-01,GWh,329
2015-10-01,GWh,5837
2016-01-01,GWh,6651
2016-01-01,GWh,340
2016-01-01,GWh,6311
2016-04-01,GWh,6471
2016-04-01,GWh,360
2016-04-01,GWh,6111
2016-07-01,GWh,5926
2016-07-01,GWh,385
2016-07-01,GWh,5541
2016-10-01,GWh,6307
2016-10-01,GWh,395
2016-10-01,GWh,5913
2017-01-01,GWh,6867
2017-01-01,GWh,406
2017-01-01,GWh,6461
2017-04-01,GWh,6429
2017-04-01,GWh,433
2017-04-01,GWh,5996
2017-07-01,GWh,5969
2017-07-01,GWh,449
2017-07-01,GWh,5519
2017-10-01,GWh,6461
2017-10-01,GWh,472
2017-10-01,GWh,5989
2018-01-01,GWh,7097
2018-01-01,GWh,490
2018-01-01,GWh,6607
2018-04-01,GWh,6845
2018-04-01,GWh,526
2018-04-01,GWh,6318
2018-07-01,GWh,6187
2018-07-01,GWh,573
2018-07-01,GWh,5614
2018-10-01,GWh,6601
2018-10-01,GWh,591
2018-10-01,GWh,6011
2019-01-01,GWh,7128
2019-01-01,GWh,578
2019-01-01,GWh,6550
2019-04-01,GWh,6349
2019-04-01,GWh,600
2019-04-01,GWh,5749
2019-07-01,GWh,6299
2019-07-01,GWh,638
2019-07-01,GWh,5662
2019-10-01,GWh,6728
2019-10-01,GWh,672
2019-10-01,GWh,6056
2020-01-01,GWh,7399
2020-01-01,GWh,690
2020-01-01,GWh,6708
2020-04-01,GWh,6429
2020-04-01,GWh,721
2020-04-01,GWh,5708
2020-07-01,GWh,6381
2020-07-01,GWh,765
2020-07-01,GWh,5615
2020-10-01,GWh,6847
2020-10-01,GWh,851
2020-10-01,GWh,5996
2021-01-01,GWh,7347
2021-01-01,GWh,921
2021-01-01,GWh,6426
2021-04-01,GWh,7222
2021-04-01,GWh,986
2021-04-01,GWh,6235
2021-07-01,GWh,6779
2021-07-01,GWh,1035
2021-07-01,GWh,5745
2021-10-01,GWh,7158
2021-10-01,GWh,1068
2021-10-01,GWh,6090
2022-01-01,GWh,7847
2022-01-01,GWh,1194
2022-01-01,GWh,6653
2022-04-01,GWh,7524
2022-04-01,GWh,1286
2022-04-01,GWh,6238
2022-07-01,GWh,7050
2022-07-01,GWh,1335
2022-07-01,GWh,5715
2022-10-01,GWh,7404
2022-10-01,GWh,1456
2022-10-01,GWh,5949
2023-01-01,GWh,8038
2023-01-01,GWh,1496
2023-01-01,GWh,6542
2023-04-01,GWh,7706
2023-04-01,GWh,1553
2023-04-01,GWh,6153
2023-07-01,GWh,7136
2023-07-01,GWh,1625
2023-07-01,GWh,5511
2023-10-01,GWh,7701
2023-10-01,GWh,1662
2023-10-01,GWh,6039
2024-01-01,GWh,8347
2024-01-01,GWh,1657
2024-01-01,GWh,6690
2024-04-01,GWh,7935
2024-04-01,GWh,1691
2024-04-01,GWh,6244
2024-07-01,GWh,7512
2024-07-01,GWh,1792
2024-07-01,GWh,5721
2024-10-01,GWh,8109
2024-10-01,GWh,1829
2024-10-01,GWh,6280
